season,guild,rank_estimado,player,season_points_estimado_total,percentual_dos_pontos_visiveis,season_est_Guild Challenge,season_est_PvE Outlands/Roads,season_est_Gathering Outlands/Roads,season_est_The Depths,season_est_Outlands Treasures,season_est_Smugglers,season_est_Crystal Creatures,season_est_Corrupted Dungeons,season_est_Hideout Power Cores,season_est_Hellgates,season_est_Castles & Outposts,raw_Guild Challenge,raw_PvE Outlands/Roads,raw_Gathering Outlands/Roads,raw_The Depths,raw_Outlands Treasures,raw_Smugglers,raw_Crystal Creatures,raw_Corrupted Dungeons,raw_Hideout Power Cores,raw_Hellgates,raw_Castles & Outposts
32,NoTag,76,Miliys,53.4,0.1342,53.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630384,0,0,0,0,0,0,0,0,0,0
32,NoTag,77,Kuntakint,53.02,0.1333,53.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625901,0,0,0,0,0,0,0,0,0,0
32,NoTag,78,ZenKenpacchi,52.77,0.1327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.77,0.0,0.0,0.0,0,0,0,0,0,0,0,3673,0,0,0
32,NoTag,79,OkiteKomi,51.01,0.1282,51.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602141,0,0,0,0,0,0,0,0,0,0
32,NoTag,80,ziorni,50.24,0.1263,50.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593109,0,0,0,0,0,0,0,0,0,0
32,NoTag,81,ThanathosXX,49.26,0.1238,49.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581539,0,0,0,0,0,0,0,0,0,0
32,NoTag,82,Rasta,48.95,0.1231,48.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577917,0,0,0,0,0,0,0,0,0,0
32,NoTag,83,Juli4n4,47.66,0.1198,47.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562582,0,0,0,0,0,0,0,0,0,0
32,NoTag,84,PissOnMyAss,47.2,0.1186,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557171,0,0,0,0,0,0,0,0,0,0
32,NoTag,85,KatarinaSemC,46.23,0.1162,46.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545707,0,0,0,0,0,0,0,0,0,0
32,NoTag,86,Ferreira,45.19,0.1136,45.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533519,0,0,0,0,0,0,0,0,0,0
32,NoTag,87,minhafemea1,44.69,0.1123,44.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527544,0,0,0,0,0,0,0,0,0,0
32,NoTag,88,ShitOnMyCock,43.11,0.1084,43.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508910,0,0,0,0,0,0,0,0,0,0
32,NoTag,89,LIGILIMENCIA,42.88,0.1078,42.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506227,0,0,0,0,0,0,0,0,0,0
32,NoTag,90,Shomiwa,42.23,0.1062,42.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498536,0,0,0,0,0,0,0,0,0,0
32,NoTag,91,GlitterGold,40.62,0.1021,40.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479494,0,0,0,0,0,0,0,0,0,0
32,NoTag,92,Natsury,40.15,0.1009,40.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474010,0,0,0,0,0,0,0,0,0,0
32,NoTag,93,elcondopassa,40.06,0.1007,40.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472891,0,0,0,0,0,0,0,0,0,0
32,NoTag,94,EfR4,39.41,0.0991,39.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465283,0,0,0,0,0,0,0,0,0,0
32,NoTag,95,JozeDefinitivo,39.38,0.099,39.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464924,0,0,0,0,0,0,0,0,0,0
32,NoTag,96,DanoCritico,38.63,0.0971,38.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456010,0,0,0,0,0,0,0,0,0,0
32,NoTag,97,xVenon,36.84,0.0926,36.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434851,0,0,0,0,0,0,0,0,0,0
32,NoTag,98,Saskmot,35.21,0.0885,35.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415711,0,0,0,0,0,0,0,0,0,0
32,NoTag,99,Sabedoria7,34.75,0.0874,34.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410237,0,0,0,0,0,0,0,0,0,0
32,NoTag,100,ThordaSilva,34.44,0.0866,34.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406524,0,0,0,0,0,0,0,0,0,0
32,NoTag,101,Julioczr,34.22,0.086,34.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403969,0,0,0,0,0,0,0,0,0,0
32,NoTag,102,Andrezao,33.81,0.085,33.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399183,0,0,0,0,0,0,0,0,0,0
32,NoTag,103,CARLGALAGHER,33.08,0.0832,33.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390555,0,0,0,0,0,0,0,0,0,0
32,NoTag,104,habibino,33.05,0.0831,33.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390169,0,0,0,0,0,0,0,0,0,0
32,NoTag,105,HOOOOOOOOOOOOOOOT,30.7,0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,0.0,0,0,0,0,0,0,0,0,0,3618,0
32,NoTag,106,MachoAlpha,22.72,0.0571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72,0.0,0.0,0.0,0,0,0,0,0,0,0,1581,0,0,0
32,NoTag,107,Porquitchona,4.87,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,0,0,0,0,0,0,0,0,0,0,5426
32,NoTag,108,sagresmini,4.87,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,0,0,0,0,0,0,0,0,0,0,5426
