season,guild,rank_pontos_normais,player,pontos_normais_total,pontos_Guild Challenge,pontos_PvE Outlands/Roads,pontos_Gathering Outlands/Roads,pontos_The Depths,pontos_Outlands Treasures,pontos_Smugglers,pontos_Crystal Creatures,pontos_Corrupted Dungeons,pontos_Hideout Power Cores,pontos_Hellgates,pontos_Castles & Outposts
32,NoTag,92,EfR4,465283,465283,0,0,0,0,0,0,0,0,0,0
32,NoTag,93,JozeDefinitivo,464924,464924,0,0,0,0,0,0,0,0,0,0
32,NoTag,94,DanoCritico,456010,456010,0,0,0,0,0,0,0,0,0,0
32,NoTag,95,xVenon,434851,434851,0,0,0,0,0,0,0,0,0,0
32,NoTag,96,Saskmot,415711,415711,0,0,0,0,0,0,0,0,0,0
32,NoTag,97,Sabedoria7,410237,410237,0,0,0,0,0,0,0,0,0,0
32,NoTag,98,ThordaSilva,406524,406524,0,0,0,0,0,0,0,0,0,0
32,NoTag,99,Julioczr,403969,403969,0,0,0,0,0,0,0,0,0,0
32,NoTag,100,Andrezao,399183,399183,0,0,0,0,0,0,0,0,0,0
32,NoTag,101,CARLGALAGHER,390555,390555,0,0,0,0,0,0,0,0,0,0
32,NoTag,102,habibino,390169,390169,0,0,0,0,0,0,0,0,0,0
32,NoTag,103,BarryTube,7142,0,0,0,0,0,0,0,0,0,7142,0
32,NoTag,104,Porquitchona,5426,0,0,0,0,0,0,0,0,0,0,5426
32,NoTag,105,sagresmini,5426,0,0,0,0,0,0,0,0,0,0,5426
32,NoTag,106,ZenKenpacchi,3673,0,0,0,0,0,0,0,3673,0,0,0
32,NoTag,107,HOOOOOOOOOOOOOOOT,3618,0,0,0,0,0,0,0,0,0,3618,0
32,NoTag,108,MachoAlpha,1581,0,0,0,0,0,0,0,1581,0,0,0
